trade_date,yyyymm,counterparty,asset_class,currency,trade_type,metric,value
2025-04-10,2025-04,Bank C,Equity,EUR,Buy,notional_mn,2.4643269284679628
2025-04-10,2025-04,Bank C,Equity,EUR,Buy,pnl,-78838.68518784312
2025-04-10,2025-04,Bank C,Equity,JPY,Sell,notional,2902805.4619918563
2025-04-10,2025-04,Bank C,Equity,JPY,Sell,notional_mn,2.902805461991856
2025-04-10,2025-04,Bank C,Equity,JPY,Sell,pnl,1254.712244404902
2025-04-10,2025-04,Bank D,Equity,JPY,Buy,notional,1901259.275351128
2025-04-10,2025-04,Bank D,Equity,JPY,Buy,notional_mn,1.901259275351128
2025-04-10,2025-04,Bank D,Equity,JPY,Buy,pnl,65153.80307489916
2025-04-10,2025-04,Bank D,FX,EUR,Sell,notional,872536.1169544253
2025-04-10,2025-04,Bank D,FX,EUR,Sell,notional_mn,0.8725361169544253
2025-04-10,2025-04,Bank D,FX,EUR,Sell,pnl,9057.365636327835
2025-04-10,2025-04,Bank D,FX,USD,Sell,notional,892525.3528651916
2025-04-10,2025-04,Bank D,FX,USD,Sell,notional_mn,0.8925253528651916
2025-04-10,2025-04,Bank D,FX,USD,Sell,pnl,13491.35558211681
2025-04-11,2025-04,Bank A,Bond,EUR,Buy,notional,2545629.2253669365
2025-04-11,2025-04,Bank A,Bond,EUR,Buy,notional_mn,2.5456292253669366
2025-04-11,2025-04,Bank A,Bond,EUR,Buy,pnl,-117223.17611351474
2025-04-11,2025-04,Bank A,Bond,EUR,Sell,notional,1303588.21615191
2025-04-11,2025-04,Bank A,Bond,EUR,Sell,notional_mn,1.30358821615191
2025-04-11,2025-04,Bank A,Bond,EUR,Sell,pnl,10044.650449879273
2025-04-11,2025-04,Bank A,Equity,USD,Buy,notional,2363854.598105318
2025-04-11,2025-04,Bank A,Equity,USD,Buy,notional_mn,2.363854598105318
2025-04-11,2025-04,Bank A,Equity,USD,Buy,pnl,95908.42178037076
2025-04-11,2025-04,Bank A,FX,GBP,Sell,notional,1294505.5492426518
2025-04-11,2025-04,Bank A,FX,GBP,Sell,notional_mn,1.2945055492426518
2025-04-11,2025-04,Bank A,FX,GBP,Sell,pnl,13719.831075776883
2025-04-11,2025-04,Bank B,Equity,GBP,Sell,notional,2300771.1229777653
2025-04-11,2025-04,Bank B,Equity,GBP,Sell,notional_mn,2.300771122977765
2025-04-11,2025-04,Bank B,Equity,GBP,Sell,pnl,2941.494127221504
2025-04-11,2025-04,Bank B,Equity,USD,Sell,notional,1920935.774553332
2025-04-11,2025-04,Bank B,Equity,USD,Sell,notional_mn,1.920935774553332
2025-04-11,2025-04,Bank B,Equity,USD,Sell,pnl,-45541.21257737952
2025-04-11,2025-04,Bank C,Equity,GBP,Buy,notional,1604136.6632789415
2025-04-11,2025-04,Bank C,Equity,GBP,Buy,notional_mn,1.6041366632789416
2025-04-11,2025-04,Bank C,Equity,GBP,Buy,pnl,13069.437824151855
2025-04-11,2025-04,Bank D,Bond,JPY,Sell,notional,1940039.8731229536
2025-04-11,2025-04,Bank D,Bond,JPY,Sell,notional_mn,1.9400398731229536
2025-04-11,2025-04,Bank D,Bond,JPY,Sell,pnl,21253.561706760967
2025-04-14,2025-04,Bank A,Bond,USD,Buy,notional,2538434.122484135
2025-04-14,2025-04,Bank A,Bond,USD,Buy,notional_mn,2.538434122484135
2025-04-14,2025-04,Bank A,Bond,USD,Buy,pnl,-62710.82669851347
2025-04-14,2025-04,Bank A,Commodity,GBP,Sell,notional,3428218.872729616
2025-04-14,2025-04,Bank A,Commodity,GBP,Sell,notional_mn,3.428218872729616
2025-04-14,2025-04,Bank A,Commodity,GBP,Sell,pnl,80933.52039652488
2025-04-14,2025-04,Bank A,Equity,GBP,Sell,notional,2914952.2375497096
2025-04-14,2025-04,Bank A,Equity,GBP,Sell,notional_mn,2.9149522375497097
2025-04-14,2025-04,Bank A,Equity,GBP,Sell,pnl,10237.782313848093
2025-04-14,2025-04,Bank A,Equity,USD,Buy,notional,1934115.0592705668
2025-04-14,2025-04,Bank A,Equity,USD,Buy,notional_mn,1.9341150592705667
2025-04-14,2025-04,Bank A,Equity,USD,Buy,pnl,24531.65496188558
2025-04-14,2025-04,Bank B,Bond,GBP,Buy,notional,2703466.46822837
2025-04-14,2025-04,Bank B,Bond,GBP,Buy,notional_mn,2.70346646822837
2025-04-14,2025-04,Bank B,Bond,GBP,Buy,pnl,139998.5066765814
2025-04-14,2025-04,Bank B,Equity,JPY,Sell,notional,1288775.9338086096
2025-04-14,2025-04,Bank B,Equity,JPY,Sell,notional_mn,1.2887759338086096
2025-04-14,2025-04,Bank B,Equity,JPY,Sell,pnl,-43158.29732299612
2025-04-14,2025-04,Bank B,Equity,USD,Buy,notional,1513585.2269507956
2025-04-14,2025-04,Bank B,Equity,USD,Buy,notional_mn,1.5135852269507957
2025-04-14,2025-04,Bank B,Equity,USD,Buy,pnl,-34906.16367851267
2025-04-14,2025-04,Bank C,Bond,EUR,Sell,notional,2190773.4320825846
2025-04-14,2025-04,Bank C,Bond,EUR,Sell,notional_mn,2.1907734320825845
2025-04-14,2025-04,Bank C,Bond,EUR,Sell,pnl,-115.75995485480308
2025-04-14,2025-04,Bank C,Bond,GBP,Buy,notional,3463132.186577268
2025-04-14,2025-04,Bank C,Bond,GBP,Buy,notional_mn,3.463132186577268
2025-04-14,2025-04,Bank C,Bond,GBP,Buy,pnl,-25842.8981384308
2025-04-14,2025-04,Bank C,Commodity,JPY,Sell,notional,3276295.4574279417
2025-04-14,2025-04,Bank C,Commodity,JPY,Sell,notional_mn,3.276295457427942
2025-04-14,2025-04,Bank C,Commodity,JPY,Sell,pnl,74921.77506518648
2025-04-14,2025-04,Bank C,FX,USD,Buy,notional,3707974.4460974745
2025-04-14,2025-04,Bank C,FX,USD,Buy,notional_mn,3.7079744460974746
2025-04-14,2025-04,Bank C,FX,USD,Buy,pnl,-61147.74508733709
2025-04-14,2025-04,Bank D,Equity,EUR,Buy,notional,923017.6470451532
2025-04-14,2025-04,Bank D,Equity,EUR,Buy,notional_mn,0.9230176470451532
2025-04-14,2025-04,Bank D,Equity,EUR,Buy,pnl,24794.2067200602
2025-04-14,2025-04,Bank D,Equity,EUR,Sell,notional,3879144.549784101
2025-04-14,2025-04,Bank D,Equity,EUR,Sell,notional_mn,3.879144549784101
2025-04-14,2025-04,Bank D,Equity,EUR,Sell,pnl,85462.01725291467
2025-04-14,2025-04,Bank D,Equity,USD,Buy,notional,3027573.111911984
2025-04-14,2025-04,Bank D,Equity,USD,Buy,notional_mn,3.027573111911984
2025-04-14,2025-04,Bank D,Equity,USD,Buy,pnl,-129152.1516580248
2025-04-15,2025-04,Bank A,Bond,GBP,Buy,notional,642432.4402629172
2025-04-15,2025-04,Bank A,Bond,GBP,Buy,notional_mn,0.6424324402629172
2025-04-15,2025-04,Bank A,Bond,GBP,Buy,pnl,-27596.866474434268
2025-04-15,2025-04,Bank B,Bond,USD,Buy,notional,2199865.783871652
2025-04-15,2025-04,Bank B,Bond,USD,Buy,notional_mn,2.199865783871652
2025-04-15,2025-04,Bank B,Bond,USD,Buy,pnl,-51933.58878868184
2025-04-15,2025-04,Bank B,Equity,USD,Buy,notional,3280593.8623892376
2025-04-15,2025-04,Bank B,Equity,USD,Buy,notional_mn,3.280593862389237
2025-04-15,2025-04,Bank B,Equity,USD,Buy,pnl,24726.82644779902
2025-04-15,2025-04,Bank C,Bond,JPY,Buy,notional,2308352.496861293
2025-04-15,2025-04,Bank C,Bond,JPY,Buy,notional_mn,2.308352496861293
2025-04-15,2025-04,Bank C,Bond,JPY,Buy,pnl,-102376.95990661225
2025-04-15,2025-04,Bank C,Equity,EUR,Buy,notional,2302582.7481990536
2025-04-15,2025-04,Bank C,Equity,EUR,Buy,notional_mn,2.302582748199053
2025-04-15,2025-04,Bank C,Equity,EUR,Buy,pnl,59046.22165884627
2025-04-15,2025-04,Bank C,Equity,GBP,Sell,notional,3473569.894990304
2025-04-15,2025-04,Bank C,Equity,GBP,Sell,notional_mn,3.473569894990304
2025-04-15,2025-04,Bank C,Equity,GBP,Sell,pnl,61703.840050091145
2025-04-15,2025-04,Bank C,FX,JPY,Buy,notional,2605546.072265474
2025-04-15,2025-04,Bank C,FX,JPY,Buy,notional_mn,2.605546072265474
2025-04-15,2025-04,Bank C,FX,JPY,Buy,pnl,-37361.31078513482
2025-04-15,2025-04,Bank D,Commodity,JPY,Sell,notional,508592.98705617967
2025-04-15,2025-04,Bank D,Commodity,JPY,Sell,notional_mn,0.5085929870561797
2025-04-15,2025-04,Bank D,Commodity,JPY,Sell,pnl,878.3741155435162
2025-04-15,2025-04,Bank D,FX,JPY,Sell,notional,3384317.0318114813
2025-04-15,2025-04,Bank D,FX,JPY,Sell,notional_mn,3.384317031811481
2025-04-15,2025-04,Bank D,FX,JPY,Sell,pnl,-6272.532318136132
2025-04-16,2025-04,Bank A,Bond,EUR,Sell,notional,792400.8746449634
2025-04-16,2025-04,Bank A,Bond,EUR,Sell,notional_mn,0.7924008746449634
2025-04-16,2025-04,Bank A,Bond,EUR,Sell,pnl,-15924.118685405649
2025-04-16,2025-04,Bank A,Bond,GBP,Sell,notional,1782251.977685812
2025-04-16,2025-04,Bank A,Bond,GBP,Sell,notional_mn,1.782251977685812
2025-04-16,2025-04,Bank A,Bond,GBP,Sell,pnl,100910.3932743474
2025-04-16,2025-04,Bank A,Equity,JPY,Buy,notional,499417.77518514753
2025-04-16,2025-04,Bank A,Equity,JPY,Buy,notional_mn,0.4994177751851475
2025-04-16,2025-04,Bank A,Equity,JPY,Buy,pnl,9828.841242657032
2025-04-16,2025-04,Bank A,Equity,JPY,Sell,notional,3690431.7004187065
2025-04-16,2025-04,Bank A,Equity,JPY,Sell,notional_mn,3.6904317004187055
2025-04-16,2025-04,Bank A,Equity,JPY,Sell,pnl,-47477.08483500872
2025-04-16,2025-04,Bank B,Equity,GBP,Buy,notional,940026.2377477986
2025-04-16,2025-04,Bank B,Equity,GBP,Buy,notional_mn,0.9400262377477986
2025-04-16,2025-04,Bank B,Equity,GBP,Buy,pnl,-18034.866861672617
2025-04-16,2025-04,Bank C,Equity,EUR,Buy,notional,842044.3286070275
2025-04-16,2025-04,Bank C,Equity,EUR,Buy,notional_mn,0.8420443286070275
2025-04-16,2025-04,Bank C,Equity,EUR,Buy,pnl,-18992.0464609246
2025-04-16,2025-04,Bank D,Bond,USD,Buy,notional,3164158.8676896067
2025-04-16,2025-04,Bank D,Bond,USD,Buy,notional_mn,3.164158867689607
2025-04-16,2025-04,Bank D,Bond,USD,Buy,pnl,-32686.71657462832
2025-04-16,2025-04,Bank D,Equity,EUR,Buy,notional,1722858.0091386756
2025-04-16,2025-04,Bank D,Equity,EUR,Buy,notional_mn,1.7228580091386756
2025-04-16,2025-04,Bank D,Equity,EUR,Buy,pnl,22559.30203433149
2025-04-17,2025-04,Bank A,Bond,EUR,Buy,notional,873784.7128843983
2025-04-17,2025-04,Bank A,Bond,EUR,Buy,notional_mn,0.8737847128843983
2025-04-17,2025-04,Bank A,Bond,EUR,Buy,pnl,-24938.21462357751
2025-04-17,2025-04,Bank A,Equity,JPY,Sell,notional,2978561.7578181904
2025-04-17,2025-04,Bank A,Equity,JPY,Sell,notional_mn,2.9785617578181904
2025-04-17,2025-04,Bank A,Equity,JPY,Sell,pnl,3310.6382607998607
2025-04-17,2025-04,Bank A,FX,USD,Sell,notional,2502075.564993934
2025-04-17,2025-04,Bank A,FX,USD,Sell,notional_mn,2.502075564993934
2025-04-17,2025-04,Bank A,FX,USD,Sell,pnl,38534.136786147006
2025-04-17,2025-04,Bank B,Bond,USD,Buy,notional,699889.6876695118
2025-04-17,2025-04,Bank B,Bond,USD,Buy,notional_mn,0.6998896876695118
2025-04-17,2025-04,Bank B,Bond,USD,Buy,pnl,-25422.606428677536
2025-04-17,2025-04,Bank C,Bond,JPY,Buy,notional,1204304.9786540791
2025-04-17,2025-04,Bank C,Bond,JPY,Buy,notional_mn,1.2043049786540792
2025-04-17,2025-04,Bank C,Bond,JPY,Buy,pnl,11766.282576626676
2025-04-17,2025-04,Bank C,FX,GBP,Buy,notional,1742594.4521901614
2025-04-17,2025-04,Bank C,FX,GBP,Buy,notional_mn,1.7425944521901615
2025-04-17,2025-04,Bank C,FX,GBP,Buy,pnl,-48190.622155757446
2025-04-17,2025-04,Bank D,Bond,JPY,Sell,notional,509444.6545654422
2025-04-17,2025-04,Bank D,Bond,JPY,Sell,notional_mn,0.5094446545654422
2025-04-17,2025-04,Bank D,Bond,JPY,Sell,pnl,-9355.074054038
2025-04-18,2025-04,Bank A,Bond,GBP,Sell,notional,2860927.4195813844
2025-04-18,2025-04,Bank A,Bond,GBP,Sell,notional_mn,2.8609274195813845
2025-04-18,2025-04,Bank A,Bond,GBP,Sell,pnl,75658.87683724938
2025-04-18,2025-04,Bank A,Bond,JPY,Buy,notional,4454686.187288564
2025-04-18,2025-04,Bank A,Bond,JPY,Buy,notional_mn,4.454686187288564
2025-04-18,2025-04,Bank A,Bond,JPY,Buy,pnl,65848.31622970224
2025-04-18,2025-04,Bank A,Equity,USD,Buy,notional,5294374.886273182
2025-04-18,2025-04,Bank A,Equity,USD,Buy,notional_mn,5.294374886273181
2025-04-18,2025-04,Bank A,Equity,USD,Buy,pnl,-11068.463155144913
2025-04-18,2025-04,Bank A,FX,EUR,Sell,notional,3213580.149084749
2025-04-18,2025-04,Bank A,FX,EUR,Sell,notional_mn,3.2135801490847493
2025-04-18,2025-04,Bank A,FX,EUR,Sell,pnl,-45096.60434592836
2025-04-18,2025-04,Bank B,Bond,USD,Buy,notional,3019483.084220323
2025-04-18,2025-04,Bank B,Bond,USD,Buy,notional_mn,3.019483084220323
2025-04-18,2025-04,Bank B,Bond,USD,Buy,pnl,-6611.779499586651
2025-04-18,2025-04,Bank B,Commodity,EUR,Sell,notional,3316339.1861354024
2025-04-18,2025-04,Bank B,Commodity,EUR,Sell,notional_mn,3.3163391861354024
2025-04-18,2025-04,Bank B,Commodity,EUR,Sell,pnl,-32301.29426797578
2025-04-18,2025-04,Bank B,Commodity,JPY,Buy,notional,806915.6344456985
2025-04-18,2025-04,Bank B,Commodity,JPY,Buy,notional_mn,0.8069156344456985
2025-04-18,2025-04,Bank B,Commodity,JPY,Buy,pnl,-6965.302678440589
2025-04-18,2025-04,Bank B,Equity,EUR,Buy,notional,1749023.0298263056
2025-04-18,2025-04,Bank B,Equity,EUR,Buy,notional_mn,1.7490230298263056
2025-04-18,2025-04,Bank B,Equity,EUR,Buy,pnl,85351.51166145697
2025-04-18,2025-04,Bank C,FX,GBP,Buy,notional,3462173.455231667
2025-04-18,2025-04,Bank C,FX,GBP,Buy,notional_mn,3.462173455231667
2025-04-18,2025-04,Bank C,FX,GBP,Buy,pnl,-79185.57164348452
2025-04-18,2025-04,Bank D,Equity,USD,Buy,notional,1427192.3105085476
2025-04-18,2025-04,Bank D,Equity,USD,Buy,notional_mn,1.4271923105085476
2025-04-18,2025-04,Bank D,Equity,USD,Buy,pnl,23045.296092734567
2025-04-21,2025-04,Bank A,Equity,GBP,Buy,notional,1945121.167814474
2025-04-21,2025-04,Bank A,Equity,GBP,Buy,notional_mn,1.9451211678144744
2025-04-21,2025-04,Bank A,Equity,GBP,Buy,pnl,51528.87247103807
2025-04-21,2025-04,Bank A,FX,GBP,Sell,notional,954631.5204440084
2025-04-21,2025-04,Bank A,FX,GBP,Sell,notional_mn,0.9546315204440085
2025-04-21,2025-04,Bank A,FX,GBP,Sell,pnl,3073.4704417147045
2025-04-21,2025-04,Bank A,FX,JPY,Buy,notional,2604692.338427063
2025-04-21,2025-04,Bank A,FX,JPY,Buy,notional_mn,2.6046923384270637
2025-04-21,2025-04,Bank A,FX,JPY,Buy,pnl,11970.094204521054
2025-04-21,2025-04,Bank B,Bond,JPY,Buy,notional,907544.9560060644
2025-04-21,2025-04,Bank B,Bond,JPY,Buy,notional_mn,0.9075449560060644
2025-04-21,2025-04,Bank B,Bond,JPY,Buy,pnl,5048.535465636562
2025-04-21,2025-04,Bank B,Equity,EUR,Buy,notional,1920530.864886211
2025-04-21,2025-04,Bank B,Equity,EUR,Buy,notional_mn,1.920530864886211
2025-04-21,2025-04,Bank B,Equity,EUR,Buy,pnl,-94248.499970378
2025-04-21,2025-04,Bank B,FX,GBP,Sell,notional,3301758.018468532
2025-04-21,2025-04,Bank B,FX,GBP,Sell,notional_mn,3.301758018468532
2025-04-21,2025-04,Bank B,FX,GBP,Sell,pnl,26945.298957301267
2025-04-21,2025-04,Bank C,FX,JPY,Sell,notional,3888458.416778387
2025-04-21,2025-04,Bank C,FX,JPY,Sell,notional_mn,3.888458416778387
2025-04-21,2025-04,Bank C,FX,JPY,Sell,pnl,-131997.07105563933
2025-04-21,2025-04,Bank D,Equity,EUR,Sell,notional,2148631.540175349
2025-04-21,2025-04,Bank D,Equity,EUR,Sell,notional_mn,2.148631540175349
2025-04-21,2025-04,Bank D,Equity,EUR,Sell,pnl,1885.6417109098848
2025-04-21,2025-04,Bank D,FX,EUR,Buy,notional,389813.82500227855
2025-04-21,2025-04,Bank D,FX,EUR,Buy,notional_mn,0.3898138250022785
2025-04-21,2025-04,Bank D,FX,EUR,Buy,pnl,1227.6415920922027
2025-04-22,2025-04,Bank A,Commodity,USD,Sell,notional,3919578.991172629
2025-04-22,2025-04,Bank A,Commodity,USD,Sell,notional_mn,3.919578991172629
2025-04-22,2025-04,Bank A,Commodity,USD,Sell,pnl,56536.88257538677
2025-04-22,2025-04,Bank A,Equity,GBP,Buy,notional,3561332.711557395
2025-04-22,2025-04,Bank A,Equity,GBP,Buy,notional_mn,3.561332711557395
2025-04-22,2025-04,Bank A,Equity,GBP,Buy,pnl,-13815.577966152478
2025-04-22,2025-04,Bank A,Equity,JPY,Buy,notional,2355869.463554043
2025-04-22,2025-04,Bank A,Equity,JPY,Buy,notional_mn,2.355869463554043
2025-04-22,2025-04,Bank A,Equity,JPY,Buy,pnl,-14923.11041327122
2025-04-22,2025-04,Bank A,FX,JPY,Buy,notional,842995.346614634
2025-04-22,2025-04,Bank A,FX,JPY,Buy,notional_mn,0.842995346614634
2025-04-22,2025-04,Bank A,FX,JPY,Buy,pnl,6624.1511570882485
2025-04-22,2025-04,Bank B,Bond,GBP,Buy,notional,2749907.7737284745
2025-04-22,2025-04,Bank B,Bond,GBP,Buy,notional_mn,2.7499077737284745
2025-04-22,2025-04,Bank B,Bond,GBP,Buy,pnl,-10734.793564347434
2025-04-22,2025-04,Bank B,Equity,JPY,Sell,notional,5736581.922300002
2025-04-22,2025-04,Bank B,Equity,JPY,Sell,notional_mn,5.736581922300002
2025-04-22,2025-04,Bank B,Equity,JPY,Sell,pnl,24647.474865848417
2025-04-22,2025-04,Bank C,Equity,GBP,Buy,notional,3409842.520993995
2025-04-22,2025-04,Bank C,Equity,GBP,Buy,notional_mn,3.409842520993995
2025-04-22,2025-04,Bank C,Equity,GBP,Buy,pnl,92796.5400851426
2025-04-22,2025-04,Bank C,FX,EUR,Buy,notional,661903.2728435355
2025-04-22,2025-04,Bank C,FX,EUR,Buy,notional_mn,0.6619032728435356
2025-04-22,2025-04,Bank C,FX,EUR,Buy,pnl,11617.335161113751
2025-04-22,2025-04,Bank D,Equity,EUR,Buy,notional,1852146.350352005
2025-04-22,2025-04,Bank D,Equity,EUR,Buy,notional_mn,1.852146350352005
2025-04-22,2025-04,Bank D,Equity,EUR,Buy,pnl,-30375.26466436951
2025-04-22,2025-04,Bank D,FX,GBP,Buy,notional,601966.0797464754
2025-04-22,2025-04,Bank D,FX,GBP,Buy,notional_mn,0.6019660797464754
2025-04-22,2025-04,Bank D,FX,GBP,Buy,pnl,2442.1137308327657
2025-04-23,2025-04,Bank A,Equity,EUR,Buy,notional,2195615.7472820533
2025-04-23,2025-04,Bank A,Equity,EUR,Buy,notional_mn,2.195615747282053
2025-04-23,2025-04,Bank A,Equity,EUR,Buy,pnl,-7508.20000822776
2025-04-23,2025-04,Bank A,Equity,GBP,Buy,notional,3481782.8281119866
2025-04-23,2025-04,Bank A,Equity,GBP,Buy,notional_mn,3.4817828281119865
2025-04-23,2025-04,Bank A,Equity,GBP,Buy,pnl,-87438.79014302023
2025-04-23,2025-04,Bank A,Equity,JPY,Buy,notional,3509027.792899931
2025-04-23,2025-04,Bank A,Equity,JPY,Buy,notional_mn,3.5090277928999307
2025-04-23,2025-04,Bank A,Equity,JPY,Buy,pnl,51474.36152184103
2025-04-23,2025-04,Bank B,Equity,EUR,Buy,notional,2780356.532162725
2025-04-23,2025-04,Bank B,Equity,EUR,Buy,notional_mn,2.780356532162725
2025-04-23,2025-04,Bank B,Equity,EUR,Buy,pnl,6964.956223438519
2025-04-23,2025-04,Bank B,Equity,USD,Buy,notional,3246424.216326225
2025-04-23,2025-04,Bank B,Equity,USD,Buy,notional_mn,3.246424216326225
2025-04-23,2025-04,Bank B,Equity,USD,Buy,pnl,-13132.3695298415
2025-04-23,2025-04,Bank B,FX,JPY,Buy,notional,1697122.2020628997
2025-04-23,2025-04,Bank B,FX,JPY,Buy,notional_mn,1.6971222020628998
2025-04-23,2025-04,Bank B,FX,JPY,Buy,pnl,116.34720976213352
2025-04-23,2025-04,Bank B,FX,JPY,Sell,notional,907308.9967353188
2025-04-23,2025-04,Bank B,FX,JPY,Sell,notional_mn,0.9073089967353188
2025-04-23,2025-04,Bank B,FX,JPY,Sell,pnl,14910.760095219804
